Datetime	Temp	Hum	Lux	UVI	Rain	Wind	timemin
2022/04/06:16:35:00	29.4	75	37792.1	2	0.0	7.2	995
2022/04/06:16:40:00	29.3	76	34847.6	2	0.0	3.5	1000
2022/04/06:16:45:00	29.3	76	32160.3	2	0.0	7.2	1005
2022/04/06:16:50:00	29.2	76	28427.7	2	0.0	7.2	1010
2022/04/06:16:55:00	29.1	76	26225.6	2	0.0	3.5	1015
2022/04/06:17:00:00	28.9	77	24240.2	1	0.0	7.2	1020
2022/04/06:17:05:00	28.8	78	21960.9	1	0.0	3.5	1025
2022/04/06:17:10:00	28.8	77	20017.3	1	0.0	9.3	1030
2022/04/06:17:15:00	28.6	77	19011.3	1	0.0	3.5	1035
2022/04/06:17:20:00	28.5	78	15316.8	1	0.0	5.5	1040
2022/04/06:17:25:00	28.4	78	13496.1	1	0.0	5.5	1045
2022/04/06:17:30:00	28.4	78	11951.6	0	0.0	1.8	1050
2022/04/06:17:35:00	28.2	79	9529.1	0	0.0	3.5	1055
2022/04/06:17:40:00	28.0	80	7200.4	0	0.0	3.5	1060
2022/04/06:17:45:00	27.7	80	6207.0	0	0.0	3.5	1065
2022/04/06:17:50:00	27.7	80	5298.6	0	0.0	3.5	1070
2022/04/06:17:55:00	27.5	81	4344.5	0	0.0	1.8	1075
2022/04/06:18:00:00	27.5	82	2958.4	0	0.0	1.8	1080
2022/04/06:18:05:00	27.3	84	1971.5	0	0.0	0.0	1085
2022/04/06:18:10:00	27.0	84	1278.4	0	0.0	1.8	1090
2022/04/06:18:15:00	26.5	86	605.6	0	0.0	0.0	1095
2022/04/06:18:20:00	26.2	87	225.5	0	0.0	0.0	1100
2022/04/06:18:25:00	25.9	89	90.0	0	0.0	0.0	1105
2022/04/06:18:30:00	25.7	90	27.9	0	0.0	0.0	1110
2022/04/06:18:35:00	25.5	90	7.6	0	0.0	0.0	1115
2022/04/06:18:40:00	25.3	92	1.3	0	0.0	0.0	1120
2022/04/06:18:45:00	25.2	92	0.0	0	0.0	0.0	1125
2022/04/06:18:50:00	25.1	96	0.0	0	0.0	0.0	1130
2022/04/06:18:55:00	25.0	94	0.0	0	0.0	0.0	1135
2022/04/06:19:00:00	25.2	91	0.0	0	0.0	0.0	1140
2022/04/06:19:05:00	25.3	90	0.0	0	0.0	0.0	1145
2022/04/06:19:10:00	25.4	90	0.0	0	0.0	0.0	1150
2022/04/06:19:15:00	25.3	90	0.0	0	0.0	0.0	1155
2022/04/06:19:20:00	25.3	91	0.0	0	0.0	0.0	1160
2022/04/06:19:25:00	25.1	91	0.0	0	0.0	0.0	1165
2022/04/06:19:30:00	25.2	91	0.0	0	0.0	0.0	1170
2022/04/06:19:35:00	25.2	91	0.0	0	0.0	0.0	1175
2022/04/06:19:40:00	25.1	91	0.0	0	0.0	0.0	1180
2022/04/06:19:45:00	25.2	91	0.0	0	0.0	0.0	1185
2022/04/06:19:50:00	25.1	92	0.0	0	0.0	0.0	1190
2022/04/06:19:55:00	24.8	93	0.0	0	0.0	1.8	1195
2022/04/06:20:00:00	24.8	93	0.0	0	0.0	1.8	1200
2022/04/06:20:05:00	24.9	93	0.0	0	0.0	0.0	1205
2022/04/06:20:10:00	25.0	92	0.0	0	0.0	0.0	1210
2022/04/06:20:15:00	24.9	93	0.0	0	0.0	0.0	1215
2022/04/06:20:20:00	24.8	93	0.0	0	0.0	0.0	1220
2022/04/06:20:25:00	24.9	92	0.0	0	0.0	0.0	1225
2022/04/06:20:30:00	25.0	91	0.0	0	0.0	0.0	1230
2022/04/06:20:35:00	25.2	90	0.0	0	0.0	0.0	1235
2022/04/06:20:40:00	25.3	91	0.0	0	0.0	0.0	1240
2022/04/06:20:45:00	25.0	92	0.0	0	0.0	0.0	1245
2022/04/06:20:50:00	25.0	92	0.0	0	0.0	0.0	1250
2022/04/06:20:55:00	24.8	93	0.0	0	0.0	0.0	1255
2022/04/06:21:00:00	24.9	92	0.0	0	0.0	0.0	1260
2022/04/06:21:05:00	24.9	93	0.0	0	0.0	0.0	1265
2022/04/06:21:10:00	24.7	94	0.0	0	0.0	0.0	1270
2022/04/06:21:15:00	24.7	94	0.0	0	0.0	0.0	1275
2022/04/06:21:20:00	24.9	93	0.0	0	0.0	0.0	1280
2022/04/06:21:25:00	24.8	94	0.0	0	0.0	0.0	1285
2022/04/06:21:30:00	24.8	94	0.0	0	0.0	0.0	1290
2022/04/06:21:35:00	24.9	93	0.0	0	0.0	0.0	1295
2022/04/06:21:40:00	25.4	91	0.0	0	0.0	0.0	1300
2022/04/06:21:45:00	25.3	93	0.0	0	0.0	0.0	1305
2022/04/06:21:50:00	24.6	96	0.0	0	0.0	0.0	1310
2022/04/06:21:55:00	24.7	95	0.0	0	0.0	0.0	1315
2022/04/06:22:00:00	25.0	93	0.0	0	0.0	0.0	1320
2022/04/06:22:05:00	25.4	92	0.0	0	0.0	0.0	1325
2022/04/06:22:10:00	25.1	94	0.0	0	0.0	0.0	1330
